word,in_originals,in_wikipedia,in_ai,jaccard_wiki,jaccard_ia,cos_dist_wiki,cos_dist_ia,category_wiki,category_ia
prinzessin,True,True,True,0.053,0.111,0.2809999883174896,0.34599998593330383,conservation,shift
prinz,True,True,True,0.0,0.0,0.36500000953674316,0.3889999985694885,shift,shift
könig,True,True,True,0.0,0.0,0.28999999165534973,0.25999999046325684,conservation,conservation
königin,True,True,True,0.0,0.0,0.4449999928474426,0.5239999890327454,shift,shift
diener,True,False,False,,,,,disappearance,disappearance
hexe,True,True,True,0.0,0.0,0.3370000123977661,0.35199999809265137,shift,shift
teufel,True,True,True,0.0,0.0,0.46799999475479126,0.4429999887943268,shift,shift
fee,True,True,True,0.0,0.0,0.6480000019073486,0.5789999961853027,shift,shift
zauberer,True,True,True,0.0,0.0,0.3970000147819519,0.4169999957084656,shift,shift
bauer,True,False,True,,0.0,,0.6259999871253967,disappearance,shift
gut,True,True,True,0.0,0.0,0.42800000309944153,0.5370000004768372,shift,shift
böse,True,True,True,0.053,0.053,0.44699999690055847,0.48100000619888306,shift,shift
liebe,True,True,True,0.0,0.0,0.3919999897480011,0.3919999897480011,shift,shift
glück,True,True,True,0.0,0.0,0.39399999380111694,0.45399999618530273,shift,shift
angst,True,True,True,0.0,0.0,0.4650000035762787,0.47099998593330383,shift,shift
mut,True,True,True,0.0,0.0,0.6029999852180481,0.5260000228881836,shift,shift
sehnsucht,True,True,True,0.0,0.0,0.5889999866485596,0.6290000081062317,shift,shift
trauer,True,True,False,0.0,,0.5099999904632568,,shift,disappearance
schönheit,True,True,True,0.0,0.0,0.5320000052452087,0.5540000200271606,shift,shift
stolz,True,True,True,0.0,0.0,0.6230000257492065,0.550000011920929,shift,shift
zauber,True,True,True,0.0,0.0,0.5540000200271606,0.5239999890327454,shift,shift
garten,True,True,True,0.0,0.0,0.4790000021457672,0.39500001072883606,shift,shift
eis,True,True,True,0.0,0.0,0.5090000033378601,0.4729999899864197,shift,shift
wald,True,True,True,0.0,0.0,0.48399999737739563,0.3930000066757202,shift,shift
märchen,True,True,True,0.0,0.0,0.5149999856948853,0.5189999938011169,shift,shift
nacht,True,True,True,0.0,0.0,0.38999998569488525,0.4269999861717224,shift,shift
traum,True,True,True,0.0,0.0,0.4230000078678131,0.3930000066757202,shift,shift
geist,True,True,True,0.0,0.0,0.6930000185966492,0.6259999871253967,shift,shift
höhle,True,True,True,0.0,0.0,0.6100000143051147,0.5879999995231628,shift,shift
meer,True,True,True,0.0,0.0,0.34599998593330383,0.3440000116825104,shift,shift
seele,True,True,True,0.0,0.0,0.5379999876022339,0.5770000219345093,shift,shift
erlösung,True,True,False,0.0,,0.5979999899864197,,shift,disappearance
gott,True,False,False,,,,,disappearance,disappearance
himmel,True,True,True,0.0,0.0,0.5550000071525574,0.41200000047683716,shift,shift
tod,True,True,True,0.0,0.0,0.4880000054836273,0.6150000095367432,shift,shift
engel,True,True,True,0.0,0.0,0.4869999885559082,0.48899999260902405,shift,shift
sünde,True,False,False,,,,,disappearance,disappearance
ewigkeit,True,False,True,,0.0,,0.5440000295639038,disappearance,shift
gnade,True,False,False,,,,,disappearance,disappearance
segen,True,True,True,0.0,0.0,0.5529999732971191,0.5979999899864197,shift,shift
