concept,j_orig_wiki,j_orig_ia,j_wiki_ia,dist_orig_wiki,dist_orig_ia,dist_wiki_ia
prinzessin,0.053,0.111,0.053,0.28110000491142273,0.3458000123500824,0.5048999786376953
prinz,0.0,0.0,0.111,0.3646000027656555,0.3887999951839447,0.5579000115394592
könig,0.0,0.0,0.111,0.29030001163482666,0.26010000705718994,0.40639999508857727
königin,0.0,0.0,0.053,0.4449999928474426,0.524399995803833,0.6647999882698059
diener,0.0,0.0,,,,
hexe,0.0,0.0,0.176,0.33709999918937683,0.3522000014781952,0.5116999745368958
teufel,0.0,0.0,0.25,0.4677000045776367,0.4429999887943268,0.5029000043869019
fee,0.0,0.0,0.053,0.6478000283241272,0.579200029373169,0.7436000108718872
zauberer,0.0,0.0,0.111,0.39719998836517334,0.41670000553131104,0.5548999905586243
bauer,0.0,0.0,0.0,,0.6258999705314636,
gut,0.0,0.0,0.053,0.4278999865055084,0.5370000004768372,0.6187000274658203
böse,0.053,0.053,0.111,0.44749999046325684,0.4812999963760376,0.5364000201225281
liebe,0.0,0.0,0.053,0.39239999651908875,0.392300009727478,0.491100013256073
glück,0.0,0.0,0.111,0.3935999870300293,0.4542999863624573,0.5356000065803528
angst,0.0,0.0,0.0,0.46470001339912415,0.4715000092983246,0.620199978351593
mut,0.0,0.0,0.0,0.6031000018119812,0.5260999798774719,0.7912999987602234
sehnsucht,0.0,0.0,0.0,0.5891000032424927,0.6288999915122986,0.7267000079154968
trauer,0.0,0.0,0.0,0.5095999836921692,,
schönheit,0.0,0.0,0.0,0.5325000286102295,0.5536999702453613,0.7124999761581421
stolz,0.0,0.0,0.0,0.6230000257492065,0.550000011920929,0.6899999976158142
zauber,0.0,0.0,0.0,0.5536999702453613,0.5235000252723694,0.7032999992370605
garten,0.0,0.0,0.111,0.47859999537467957,0.39500001072883606,0.5871999859809875
eis,0.0,0.0,0.333,0.5090000033378601,0.4729999899864197,0.579800009727478
wald,0.0,0.0,0.0,0.48350000381469727,0.39259999990463257,0.6309000253677368
märchen,0.0,0.0,0.0,0.5152000188827515,0.51910001039505,0.7533000111579895
nacht,0.0,0.0,0.053,0.3901999890804291,0.4271000027656555,0.5885999798774719
traum,0.0,0.0,0.0,0.42340001463890076,0.3926999866962433,0.593999981880188
geist,0.0,0.0,0.0,0.6926000118255615,0.6255999803543091,0.7330999970436096
höhle,0.0,0.0,0.053,0.6100000143051147,0.5884000062942505,0.5710999965667725
meer,0.0,0.0,0.0,0.3456999957561493,0.34439998865127563,0.4544999897480011
seele,0.0,0.0,0.176,0.5378999710083008,0.5766000151634216,0.52920001745224
erlösung,0.0,0.0,0.0,0.5979999899864197,,
gott,0.0,0.0,,,,
himmel,0.0,0.0,0.0,0.5547999739646912,0.412200003862381,0.6333000063896179
tod,0.0,0.0,0.053,0.4878000020980835,0.6147000193595886,0.6134999990463257
engel,0.0,0.0,0.053,0.4871000051498413,0.489300012588501,0.6836000084877014
sünde,0.0,0.0,,,,
ewigkeit,0.0,0.0,0.0,,0.5440000295639038,
gnade,0.0,0.0,,,,
segen,0.0,0.0,0.0,0.5527999997138977,0.5979999899864197,0.70660001039505
