ai_document,sim_to_orig,sim_to_wiki,difference,closer_to,top1_orig,top1_orig_sim,top1_wiki,top1_wiki_sim
1948_Andersen_Copilot_Powell_Die_roten_Schuhe.txt,0.3057,0.2778,0.0278,Originals,1837_Andersen_Original_Andersen_Die_Prinzessin_auf_der_Erbse.txt,0.396,1948_Andersen_Wikipedia_Powell_Die_roten_Schuhe.txt,0.72
1959_Andersen_Copilot_Hartmann_Das_Feuerzeug.txt,0.3012,0.2892,0.0119,Originals,1835_Andersen_Original_Andersen_Das_Feuerzeug.txt,0.579,1959_Andersen_Wikipedia_Hartmann_Das_Feuerzeug.txt,0.607
1953_Andersen_Copilot_Trebst_Die_Prinzessin_auf_der_Erbse.txt,0.3146,0.3277,-0.0131,Wikipedia,1837_Andersen_Original_Andersen_Die_Prinzessin_auf_der_Erbse.txt,0.55,1953_Andersen_Wikipedia_Trebst_Die_Prinzessin_auf_der_Erbse.txt,0.676
2006_Andersen_Copilot_Allers_Das_Mädchen_mit_den_Schwefelhölzern.txt,0.3025,0.3163,-0.0139,Wikipedia,1862_Andersen_Original_Andersen_Das_kleine_Mädchen_mit_den_Schwefelhölzern.txt,0.59,2006_Andersen_Wikipedia_Allers_Das_Mädchen_mit_den_Schwefelhölzern.txt,0.684
1977_Andersen_Copilot_Takashi_Die_wilden_Schwäne.txt,0.2458,0.2701,-0.0243,Wikipedia,1862_Andersen_Original_Andersen_Die_wilden_Schwäne.txt,0.442,1977_Andersen_Wikipedia_Takashi_Die_wilden_Schwäne.txt,0.662
1937_Andersen_Copilot_Marcus_The_Little_Match_Girl.txt,0.2917,0.3165,-0.0248,Wikipedia,1862_Andersen_Original_Andersen_Das_kleine_Mädchen_mit_den_Schwefelhölzern.txt,0.468,1937_Andersen_Wikipedia_Marcus_The_Little_Match_Girl.txt,0.691
1953_Andersen_Copilot_Surmann_Die_Prinzessin_und_der_Schweinehirt.txt,0.2879,0.3145,-0.0266,Wikipedia,1841_Andersen_Original_Andersen_Der_Schweinehirt.txt,0.581,1953_Andersen_Wikipedia_Surmann_Die_Prinzessin_und_der_Schweinehirt.txt,0.687
2010_Andersen_Copilot_Ungureit_Des_Kaisers_neue_Kleider.txt,0.2997,0.3268,-0.027,Wikipedia,1862_Andersen_Original_Andersen_Des_Kaisers_neue_Kleider.txt,0.619,2010_Andersen_Wikipedia_Ungureit_Des_Kaisers_neue_Kleider.txt,0.697
1916_Andersen_Copilot_Goetz_Streichhölzer_kauft_Streichhölzer.txt,0.2542,0.2827,-0.0285,Wikipedia,1862_Andersen_Original_Andersen_Des_Kaisers_neue_Kleider.txt,0.342,1916_Andersen_Wikipedia_Goetz_Streichhölzer_kauft_Streichhölzer.txt,0.729
1962_Andersen_Copilot_Ryss_Die_wilden_Schwäne.txt,0.2552,0.2848,-0.0295,Wikipedia,1862_Andersen_Original_Andersen_Die_wilden_Schwäne.txt,0.432,1962_Andersen_Wikipedia_Ryss_Die_wilden_Schwäne.txt,0.648
