document,true_corpus,cluster_k3,silhouette_k3
orig_1837_Andersen_Original_Andersen_Die_Prinzessin_auf_der_Erbse.txt,Originals,0,0.0083
orig_1844_Andersen_Original_Andersen_Die_Schneekönigin.txt,Originals,0,0.0114
orig_1835_Andersen_Original_Andersen_Däumelinchen.txt,Originals,0,0.034
orig_1862_Andersen_Original_Andersen_Das_kleine_Mädchen_mit_den_Schwefelhölzern.txt,Originals,0,0.022
orig_1862_Andersen_Original_Andersen_Die_roten_Schuhe.txt,Originals,0,0.0246
orig_1837_Andersen_Original_Andersen_Die_kleine_Seejungfer.txt,Originals,0,-0.0141
orig_1835_Andersen_Original_Andersen_Der_kleine_Klaus_und_der_grosse_Klaus.txt,Originals,0,0.0531
orig_1862_Andersen_Original_Andersen_Die_wilden_Schwäne.txt,Originals,0,0.028
orig_1862_Andersen_Original_Andersen_Die_Galoschen_des_Glücks.txt,Originals,0,-0.0147
orig_1862_Andersen_Original_Andersen_Der_Reisekamerad.txt,Originals,0,0.0361
orig_1835_Andersen_Original_Andersen_Das_Feuerzeug.txt,Originals,0,0.0523
orig_1855_Andersen_Original_Andersen_Der_Töpelhans.txt,Originals,0,0.0446
orig_1862_Andersen_Original_Andersen_Das_hässliche_junge_Entlein.txt,Originals,0,0.0358
orig_1862_Andersen_Original_Andersen_Des_Kaisers_neue_Kleider.txt,Originals,0,0.0489
orig_1841_Andersen_Original_Andersen_Der_Schweinehirt.txt,Originals,0,0.0606
wiki_1995_Andersen_Wikipedia_Wincelberg_Pepolino_und_der_Schwanz_der_Meerjungfrau.txt,Wikipedia,2,0.127
wiki_1939_Andersen_Wikipedia_Disney_Das_hässliche_Entlein.txt,Wikipedia,2,0.1115
wiki_1978_Andersen_Wikipedia_Oyabu_Däumelinchen.txt,Wikipedia,2,0.1388
wiki_2013_Andersen_Wikipedia_Ungureit_Das_Mädchen_mit_den_Schwefelhölzern.txt,Wikipedia,2,0.0951
wiki_2006_Andersen_Wikipedia_Allers_Das_Mädchen_mit_den_Schwefelhölzern.txt,Wikipedia,2,0.1195
wiki_1980_Andersen_Wikipedia_Wolpin_Die_Nachtigall.txt,Wikipedia,2,0.1196
wiki_1987_Andersen_Wikipedia_Burrell_Das_Mädchen_mit_den_Wunderhölzern.txt,Wikipedia,2,0.1008
wiki_1967_Andersen_Wikipedia_Schwarz_Die_Schneekönigin.txt,Wikipedia,2,0.1077
