word,in_originals,in_wikipedia,in_ai,jaccard_wiki,jaccard_ia,cos_dist_wiki,cos_dist_ia,category_wiki,category_ia
prinzessin,True,True,True,0.0,0.0,0.5529999732971191,0.5680000185966492,shift,shift
prinz,True,True,True,0.0,0.0,0.4090000092983246,0.45100000500679016,shift,shift
könig,True,True,True,0.0,0.0,0.4480000138282776,0.6190000176429749,shift,shift
königin,True,True,True,0.0,0.0,0.3569999933242798,0.4959999918937683,shift,shift
diener,True,True,True,0.0,0.0,0.4749999940395355,0.4359999895095825,shift,shift
hexe,True,True,True,0.0,0.0,0.46700000762939453,0.4519999921321869,shift,shift
teufel,True,True,True,0.053,0.053,0.46399998664855957,0.414000004529953,shift,shift
riese,True,False,False,,,,,disappearance,disappearance
zauberer,True,True,True,0.0,0.0,0.5460000038146973,0.6669999957084656,shift,shift
bauer,True,True,True,0.0,0.0,0.5139999985694885,0.4440000057220459,shift,shift
gut,True,True,True,0.0,0.0,0.47099998593330383,0.5130000114440918,shift,shift
böse,True,True,True,0.0,0.053,0.4300000071525574,0.46399998664855957,shift,shift
liebe,True,True,True,0.0,0.0,0.38100001215934753,0.4410000145435333,shift,shift
glück,True,True,True,0.0,0.0,0.48899999260902405,0.421999990940094,shift,shift
angst,True,True,True,0.0,0.0,0.5540000200271606,0.5849999785423279,shift,shift
mut,True,False,True,,0.0,,0.5839999914169312,disappearance,shift
verlangen,True,False,False,,,,,disappearance,disappearance
trauer,True,True,True,0.0,0.0,0.5820000171661377,0.5870000123977661,shift,shift
schönheit,True,True,True,0.0,0.0,0.4169999957084656,0.42500001192092896,shift,shift
stolz,True,True,True,0.0,0.0,0.5189999938011169,0.5120000243186951,shift,shift
zauber,True,True,True,0.0,0.0,0.5659999847412109,0.5830000042915344,shift,shift
garten,True,True,True,0.0,0.0,0.6669999957084656,0.6050000190734863,shift,shift
feuer,True,True,True,0.0,0.0,0.4350000023841858,0.4860000014305115,shift,shift
wald,True,True,True,0.0,0.0,0.414000004529953,0.43299999833106995,shift,shift
sage,True,False,False,,,,,disappearance,disappearance
nacht,True,True,True,0.0,0.0,0.4620000123977661,0.39100000262260437,shift,shift
traum,True,True,True,0.0,0.0,0.5820000171661377,0.6159999966621399,shift,shift
geist,True,True,True,0.0,0.0,0.5519999861717224,0.492000013589859,shift,shift
höhle,True,True,True,0.0,0.0,0.5230000019073486,0.6029999852180481,shift,shift
meer,True,True,True,0.0,0.0,0.5529999732971191,0.546999990940094,shift,shift
herz,True,True,True,0.053,0.0,0.453000009059906,0.4350000023841858,shift,shift
erlösung,True,False,False,,,,,disappearance,disappearance
gott,True,True,False,0.0,,0.5230000019073486,,shift,disappearance
himmel,True,True,True,0.0,0.0,0.5329999923706055,0.4309999942779541,shift,shift
tod,True,True,True,0.053,0.0,0.3919999897480011,0.4819999933242798,shift,shift
engel,True,False,False,,,,,disappearance,disappearance
schuld,True,True,True,0.0,0.0,0.7829999923706055,0.6980000138282776,shift,shift
verwünscht,True,False,False,,,,,disappearance,disappearance
gnade,True,False,True,,0.0,,0.5450000166893005,disappearance,shift
kirche,True,True,True,0.111,0.111,0.5260000228881836,0.5199999809265137,shift,shift
