concept,j_orig_wiki,j_orig_ia,j_wiki_ia,dist_orig_wiki,dist_orig_ia,dist_wiki_ia
prinzessin,0.0,0.0,0.0,0.5533000230789185,0.5676000118255615,0.7944999933242798
prinz,0.0,0.0,0.053,0.40939998626708984,0.45100000500679016,0.5480999946594238
könig,0.0,0.0,0.0,0.4481000006198883,0.6190999746322632,0.6477000117301941
königin,0.0,0.0,0.053,0.35749998688697815,0.4957999885082245,0.5170999765396118
diener,0.0,0.0,0.053,0.47510001063346863,0.4357999861240387,0.6230000257492065
hexe,0.0,0.0,0.176,0.46720001101493835,0.4521999955177307,0.6085000038146973
teufel,0.053,0.053,0.0,0.4641000032424927,0.41359999775886536,0.5249999761581421
riese,0.0,0.0,,,,
zauberer,0.0,0.0,0.053,0.5462999939918518,0.666700005531311,0.6347000002861023
bauer,0.0,0.0,0.176,0.5138000249862671,0.44449999928474426,0.6029999852180481
gut,0.0,0.0,0.0,0.4713999927043915,0.5133000016212463,0.6583999991416931
böse,0.0,0.053,0.0,0.42969998717308044,0.46399998664855957,0.6516000032424927
liebe,0.0,0.0,0.0,0.38100001215934753,0.44110000133514404,0.6305999755859375
glück,0.0,0.0,0.053,0.4887000024318695,0.42160001397132874,0.6704000234603882
angst,0.0,0.0,0.111,0.554099977016449,0.5853000283241272,0.6111999750137329
mut,0.0,0.0,0.0,,0.5837000012397766,
verlangen,0.0,0.0,,,,
trauer,0.0,0.0,0.0,0.5817000269889832,0.586899995803833,0.7788000106811523
schönheit,0.0,0.0,0.0,0.4171000123023987,0.4246000051498413,0.6295999884605408
stolz,0.0,0.0,0.0,0.5187000036239624,0.5123000144958496,0.7254999876022339
zauber,0.0,0.0,0.053,0.565500020980835,0.5825999975204468,0.6090999841690063
garten,0.0,0.0,0.0,0.6668999791145325,0.6047000288963318,0.7662000060081482
feuer,0.0,0.0,0.111,0.43470001220703125,0.48579999804496765,0.5995000004768372
wald,0.0,0.0,0.0,0.4138000011444092,0.4334000051021576,0.5968999862670898
sage,0.0,0.0,,,,
nacht,0.0,0.0,0.0,0.46239998936653137,0.390500009059906,0.6230000257492065
traum,0.0,0.0,0.0,0.582099974155426,0.6158000230789185,0.7584999799728394
geist,0.0,0.0,0.25,0.5523999929428101,0.492000013589859,0.7573999762535095
höhle,0.0,0.0,0.053,0.5234000086784363,0.6026999950408936,0.6514000296592712
meer,0.0,0.0,0.0,0.5530999898910522,0.5471000075340271,0.7368000149726868
herz,0.053,0.0,0.0,0.4528999924659729,0.43470001220703125,0.739799976348877
erlösung,0.0,0.0,,,,
gott,0.0,0.0,0.0,0.5231000185012817,,
himmel,0.0,0.0,0.053,0.5332000255584717,0.43059998750686646,0.6335999965667725
tod,0.053,0.0,0.0,0.3921999931335449,0.48190000653266907,0.5954999923706055
engel,0.0,0.0,,,,
schuld,0.0,0.0,0.0,0.782800018787384,0.6983000040054321,0.6402999758720398
verwünscht,0.0,0.0,,,,
gnade,0.0,0.0,0.0,,0.545199990272522,
kirche,0.111,0.111,0.111,0.5256999731063843,0.5198000073432922,0.6474999785423279
