ai_document,sim_to_orig,sim_to_wiki,difference,closer_to,top1_orig,top1_orig_sim,top1_wiki,top1_wiki_sim
1976_Grimm_Copilot_Gusner_Das_blaue_Licht.txt,0.2925,0.2342,0.0582,Originals,1857_Grimm_Original_Grimm_Das_blaue_Licht.txt,0.626,1976_Grimm_Wikipedia_Gusner_Das_blaue_Licht.txt,0.569
1962_Grimm_Copilot_Stobrawa_König_Drosselbart.txt,0.2771,0.2418,0.0353,Originals,1812_Grimm_Original_Grimm_König_Drosselbart.txt,0.554,1962_Grimm_Wikipedia_Stobrawa_König_Drosselbart.txt,0.472
1971_Grimm_Copilot_Bothe-Pelzer_Schneewittchen.txt,0.32,0.2948,0.0252,Originals,1857_Grimm_Original_Grimm_Sneewittchen.txt,0.612,1971_Grimm_Wikipedia_Bothe-Pelzer_Schneewittchen.txt,0.629
1977_Grimm_Copilot_Schlegel_Wer_reisst_denn_gleich_vorm_Teufel_aus.txt,0.2807,0.2557,0.025,Originals,1857_Grimm_Original_Grimm_Der_Teufel_mit_den_drei_goldenen_Haaren.txt,0.397,1977_Grimm_Wikipedia_Schlegel_Wer_reißt_denn_gleich_vorm_Teufel_aus.txt,0.541
1954_Grimm_Copilot_Surmann_Der_Froschkönig.txt,0.318,0.2936,0.0244,Originals,1857_Grimm_Original_Grimm_Der_Froschkönig_oder_der_eiserne_Heinrich.txt,0.593,1988_Grimm_Wikipedia_Beck_Froschkönig.txt,0.583
1980_Grimm_Copilot_Hübner_Gevatter_Tod.txt,0.298,0.2752,0.0228,Originals,1857_Grimm_Original_Grimm_Der_Gevatter_Tod.txt,0.681,1980_Grimm_Wikipedia_Hübner_Gevatter_Tod.txt,0.614
1982_Grimm_Copilot_Beck_Der_Prinz_hinter_den_sieben_Meeren.txt,0.2847,0.2664,0.0183,Originals,1857_Grimm_Original_Grimm_Das_singende_springende_Löweneckerchen.txt,0.523,1982_Grimm_Wikipedia_Beck_Der_Prinz_hinter_den_sieben_Meeren.txt,0.544
2012_Grimm_Copilot_Bongartz_Allerleirauh.txt,0.2404,0.2272,0.0132,Originals,1857_Grimm_Original_Grimm_Allerleirauh.txt,0.619,2012_Grimm_Wikipedia_Bongartz_Allerleirauh.txt,0.672
1964_Grimm_Copilot_Kaltofen_Die_goldene_Gans.txt,0.2927,0.2827,0.01,Originals,1857_Grimm_Original_Grimm_Die_goldene_Gans.txt,0.544,1964_Grimm_Wikipedia_Kaltofen_Die_goldene_Gans.txt,0.589
1950_Grimm_Copilot_Anderson_Cinderella.txt,0.233,0.2241,0.0089,Originals,1857_Grimm_Original_Grimm_Aschenputtel.txt,0.391,1950_Grimm_Wikipedia_Anderson_Cinderella.txt,0.663
1971_Grimm_Copilot_Barke_Der_arme_Müllerbursch_und_das_Kätzchen.txt,0.2304,0.2221,0.0083,Originals,1857_Grimm_Original_Grimm_Der_arme_Müllerbursch_und_das_Kätzchen.txt,0.502,1971_Grimm_Wikipedia_Barke_Der_arme_Müllerbursch_und_das_Kätzchen.txt,0.704
1940_Grimm_Copilot_Schonger_Hänsel_und_Gretel.txt,0.2297,0.2236,0.0062,Originals,1857_Grimm_Original_Grimm_Hänsel_und_Grethel.txt,0.445,1940_Grimm_Wikipedia_Schonger_Hänsel_und_Gretel.txt,0.576
1953_Grimm_Copilot_Luhmann_Die_goldene_Gans.txt,0.3083,0.3036,0.0047,Originals,1857_Grimm_Original_Grimm_Die_goldene_Gans.txt,0.495,1953_Grimm_Wikipedia_Luhmann_Die_goldene_Gans.txt,0.658
2010_Grimm_Copilot_Fogelman_Rapunzel_neu_verföhnt.txt,0.2059,0.202,0.0039,Originals,1857_Grimm_Original_Grimm_Rapunzel.txt,0.459,2010_Grimm_Wikipedia_Fogelman_Rapunzel_neu_verföhnt.txt,0.64
1986_Grimm_Copilot_Beck_Der_Bärenhäuter.txt,0.2407,0.2411,-0.0004,Wikipedia,1857_Grimm_Original_Grimm_Der_Bärenhäuter.txt,0.501,1986_Grimm_Wikipedia_Beck_Der_Bärenhäuter.txt,0.659
2015_Grimm_Copilot_Bongartz_Hans_im_Glück.txt,0.2563,0.2581,-0.0019,Wikipedia,1819_Grimm_Original_Grimm_Hans_im_Glück.txt,0.553,2015_Grimm_Wikipedia_Bongartz_Hans_im_Glück.txt,0.765
