document,true_corpus,cluster_k3,silhouette_k3
orig_1857_Grimm_Original_Grimm_Der_arme_Müllerbursch_und_das_Kätzchen.txt,Originals,2,0.0352
orig_1812_Grimm_Original_Grimm_Der_gestiefelte_Kater.txt,Originals,2,0.0403
orig_1857_Grimm_Original_Grimm_Jorinde_und_Joringel.txt,Originals,2,0.0076
orig_1857_Grimm_Original_Grimm_Die_sechs_Schwaene.txt,Originals,2,0.0231
orig_1857_Grimm_Original_Grimm_Die_Krystallkugel.txt,Originals,2,0.0245
orig_1857_Grimm_Original_Grimm_Der_Wolf_und_die_sieben_jungen_Geißlein.txt,Originals,2,0.0466
orig_1857_Grimm_Original_Grimm_Das_blaue_Licht.txt,Originals,2,0.0307
orig_1857_Grimm_Original_Grimm_Die_Goldkinder.txt,Originals,2,0.04
orig_1857_Grimm_Original_Grimm_Der_Geist_im_Glas.txt,Originals,2,0.0373
orig_1857_Grimm_Original_Grimm_Rothkäppchen.txt,Originals,2,0.0537
orig_1857_Grimm_Original_Grimm_Sneewittchen.txt,Originals,2,0.0246
orig_1857_Grimm_Original_Grimm_Das_singende_springende_Löweneckerchen.txt,Originals,2,0.034
orig_1857_Grimm_Original_Grimm_Die_Bremer_Stadtmusikanten.txt,Originals,2,0.0445
orig_1857_Grimm_Original_Grimm_Rapunzel.txt,Originals,2,0.0366
orig_1812_Grimm_Original_Grimm_Die_zertanzten_Schuhe.txt,Originals,2,0.0318
orig_1857_Grimm_Original_Grimm_Aschenputtel.txt,Originals,2,0.0342
orig_1857_Grimm_Original_Grimm_Das_Wasser_des_Lebens.txt,Originals,2,0.0428
orig_1857_Grimm_Original_Grimm_Frau_Holle.txt,Originals,2,0.0551
orig_1857_Grimm_Original_Grimm_Die_Gänsemagd.txt,Originals,2,0.0294
orig_1857_Grimm_Original_Grimm_Der_Gevatter_Tod.txt,Originals,2,0.0254
orig_1857_Grimm_Original_Grimm_Die_goldene_Gans.txt,Originals,2,0.0461
orig_1857_Grimm_Original_Grimm_Allerleirauh.txt,Originals,2,0.0408
orig_1812_Grimm_Original_Grimm_König_Drosselbart.txt,Originals,2,0.0467
orig_1857_Grimm_Original_Grimm_Der_Froschkönig_oder_der_eiserne_Heinrich.txt,Originals,2,0.0339
orig_1857_Grimm_Original_Grimm_Der_Teufel_mit_den_drei_goldenen_Haaren.txt,Originals,2,0.0423
orig_1843_Grimm_Original_Grimm_Der_Hase_und_der_Igel.txt,Originals,2,0.0145
orig_1857_Grimm_Original_Grimm_Rumpelstilzchen.txt,Originals,2,0.0267
orig_1857_Grimm_Original_Grimm_Sechse_kommen_durch_die_ganze_Welt.txt,Originals,2,0.0499
orig_1857_Grimm_Original_Grimm_Dornröschen.txt,Originals,2,0.028
orig_1857_Grimm_Original_Grimm_Der_Bärenhäuter.txt,Originals,2,0.0321
orig_1857_Grimm_Original_Grimm_Die_sieben_Raben.txt,Originals,2,0.022
orig_1857_Grimm_Original_Grimm_Schneeweißchen_und_Rosenroth.txt,Originals,2,0.0311
orig_1857_Grimm_Original_Grimm_Die_drei_Federn.txt,Originals,2,0.0477
orig_1812_Grimm_Original_Grimm_Der_Meisterdieb.txt,Originals,2,0.0303
orig_1857_Grimm_Original_Grimm_Der_treue_Johannes.txt,Originals,2,0.0454
orig_1857_Grimm_Original_Grimm_Hänsel_und_Grethel.txt,Originals,2,0.0512
orig_1857_Grimm_Original_Grimm_Die_zwei_Brüder.txt,Originals,2,0.0383
orig_1857_Grimm_Original_Grimm_Brüderchen_und_Schwesterchen.txt,Originals,2,0.0359
orig_1857_Grimm_Original_Grimm_Die_weiße_Schlange.txt,Originals,2,0.0243
orig_1819_Grimm_Original_Grimm_Hans_im_Glück.txt,Originals,2,0.0373
wiki_1986_Grimm_Wikipedia_Beck_Der_Bärenhäuter.txt,Wikipedia,1,0.0945
wiki_1962_Grimm_Wikipedia_Rodenberg_Rotkäppchen.txt,Wikipedia,1,0.0796
wiki_1988_Grimm_Wikipedia_Steigerwald_Das_Wasser_des_Lebens.txt,Wikipedia,1,0.0655
wiki_1978_Grimm_Wikipedia_Hübner_Der_Meisterdieb.txt,Wikipedia,1,0.0712
wiki_1964_Grimm_Wikipedia_Kaltofen_Die_goldene_Gans.txt,Wikipedia,1,0.1075
wiki_2011_Grimm_Wikipedia_Kreis_Die_zertanzten_Schuhe.txt,Wikipedia,1,0.089
wiki_2011_Grimm_Wikipedia_Johnson_Red_Riding_Hood.txt,Wikipedia,1,0.0794
wiki_1983_Grimm_Wikipedia_Petrik_Vom_tapferen_Schmied.txt,Wikipedia,1,0.0538
wiki_2015_Grimm_Wikipedia_Nellis_Die_sieben_Raben.txt,Wikipedia,1,0.067
wiki_1997_Grimm_Wikipedia_Freedman_Cinderella.txt,Wikipedia,1,0.0816
wiki_1962_Grimm_Wikipedia_Stobrawa_König_Drosselbart.txt,Wikipedia,1,0.0765
wiki_1957_Grimm_Wikipedia_Podehl_Der_Wolf_und_die_sieben_Geißlein.txt,Wikipedia,1,0.0794
wiki_1986_Grimm_Wikipedia_Küchenmeister_Jorinde_und_Joringel.txt,Wikipedia,1,0.0669
