Emotion,Token,Frequency
neutral,kleine,257
neutral,große,105
neutral,klaus,162
neutral,kleinen,140
neutral,dorf,7
neutral,wohnen,9
neutral,zwei,70
neutral,männer,19
neutral,namen,16
neutral,voneinander,2
neutral,unterscheiden,4
neutral,nennt,6
neutral,höhe,5
neutral,vermögens,1
neutral,großen,105
neutral,tages,32
neutral,reiche,7
neutral,gutsbesitzerstochter,1
neutral,dora,2
neutral,heiratet,7
neutral,guter,3
neutral,laune,3
neutral,macht,49
neutral,arme,45
neutral,angebot,3
neutral,acker,1
neutral,klein,11
neutral,solle,21
neutral,vier,17
neutral,pferde,29
neutral,leihen,4
neutral,schon,50
neutral,bald,33
neutral,arbeit,18
neutral,fertig,20
neutral,rest,2
neutral,woche,4
neutral,arbeiten,11
neutral,willigt,8
neutral,missfällt,1
neutral,nächsten,41
neutral,tag,54
neutral,überall,4
neutral,verkündet,4
neutral,wären,15
neutral,kurzerhand,4
neutral,geschäft,1
neutral,rückgängig,3
neutral,nimmt,30
neutral,eigenen,26
neutral,mageren,1
neutral,klepper,1
neutral,schweren,6
neutral,pflug,3
neutral,ziehen,12
neutral,tier,5
neutral,erschöpfung,1
neutral,zusammenbricht,2
neutral,bietet,8
neutral,zigeuner,5
neutral,taler,5
neutral,pferd,25
neutral,gleich,42
neutral,entscheiden,4
neutral,erst,43
neutral,später,33
neutral,zurückkommt,1
neutral,altes,12
neutral,fell,5
neutral,enttäuscht,4
neutral,packt,1
neutral,beutel,8
neutral,hause,59
neutral,spät,7
neutral,geworden,22
neutral,müllerin,7
neutral,weist,3
neutral,ab,62
neutral,angeblich,5
neutral,allein,36
neutral,müller,15
neutral,heimlich,18
neutral,durchs,5
neutral,fenster,46
neutral,schaut,2
neutral,sieht,33
neutral,reich,31
neutral,gedeckten,2
neutral,tisch,15
neutral,zusammen,34
neutral,liebhaber,4
neutral,haus,31
neutral,entdeckt,5
neutral,lädt,2
neutral,setzt,8
neutral,einfachen,1
neutral,haferbrei,3
neutral,abendessen,1
neutral,widerwillig,2
neutral,brei,2
neutral,essen,21
neutral,beginnt,9
neutral,kommt,43
neutral,tierhaut,1
neutral,eigenartig,1
neutral,knarrt,1
neutral,listig,2
neutral,meint,6
neutral,gast,1
neutral,hätte,49
neutral,zauberer,48
neutral,sack,45
neutral,sagte,435
neutral,sollen,13
neutral,lieber,20
neutral,leckeren,3
neutral,speisen,5
neutral,ofen,17
neutral,gezaubert,2
neutral,findet,25
neutral,gebratene,4
neutral,gans,3
neutral,weiteres,6
neutral,mal,40
neutral,„,241
neutral,spricht,4
neutral,“,239
neutral,verrät,2
neutral,beiden,58
neutral,rotwein,2
neutral,kamin,2
neutral,erklärt,7
neutral,teufel,10
neutral,unbedingt,10
neutral,sehen,112
neutral,gestalt,17
neutral,küsters,1
neutral,truhe,12
neutral,sitzen,15
neutral,tatsächlich,11
neutral,jemanden,7
neutral,küster,16
neutral,dorfes,1
neutral,aussieht,6
neutral,selber,2
neutral,besitzen,6
neutral,silbertaler,3
neutral,drin,2
neutral,allerdings,12
neutral,mitnehmen,3
neutral,wasser,122
neutral,werfen,8
neutral,lässt,38
neutral,unterwegs,13
neutral,frei,12
neutral,erfährt,10
neutral,eintauschen,1
neutral,bringt,8
neutral,schönen,29
neutral,zigeunern,2
neutral,verkaufen,12
neutral,tauscht,3
neutral,felle,4
neutral,denkt,6
neutral,häute,10
neutral,teuer,3
neutral,stadt,54
neutral,vergeblich,7
neutral,bemüht,3
neutral,schutt,1
neutral,finden,30
neutral,mittellos,1
neutral,kehrt,7
neutral,herberge,2
neutral,voll,19
neutral,asche,6
neutral,mitgenommen,2
neutral,gibt,23
neutral,wirt,13
neutral,verwahrung,1
neutral,trägt,8
neutral,ja,126
neutral,hineinzusehen,1
neutral,darinnen,2
neutral,widerstehen,2
neutral,wirklich,14
neutral,schenkt,3
neutral,ausgleich,1
neutral,wirtshaus,7
neutral,tochter,51
neutral,neidisch,2
neutral,überfällt,1
neutral,steckt,5
neutral,fluss,10
neutral,gerade,118
neutral,vorbeikommen,2
neutral,lenken,1
neutral,befreien,7
neutral,bringen,20
neutral,hochzeitsgeschenk,2
neutral,hochzeitsgästen,1
neutral,zählt,1
neutral,müllerpaar,1
neutral,plötzlich,26
neutral,fällt,8
neutral,silberschatz,2
neutral,versteckt,6
neutral,unversehrt,3
neutral,wiederfinden,1
neutral,inzwischen,23
neutral,hof,20
neutral,gejagt,3
neutral,enkelsohn,1
neutral,sohn,22
neutral,joe,6
neutral,beide,39
neutral,näherkommen,1
neutral,duttons,6
neutral,kinder,37
neutral,verirren,1
neutral,zunächst,12
neutral,währenddessen,16
neutral,aufgebrachte,3
neutral,menge,10
neutral,obdachlosen,2
neutral,protest,1
neutral,räumung,2
neutral,versammelt,3
neutral,gefängnis,8
neutral,ebenfalls,14
neutral,beruhigen,2
neutral,greift,2
neutral,betrunkener,2
neutral,waffe,3
neutral,haywood,6
neutral,dutton,5
neutral,erschießen,3
neutral,molly,3
neutral,rechtzeitig,5
neutral,gelungen,2
neutral,kommen,31
neutral,versöhnt,1
neutral,beschließt,8
neutral,häuser,7
neutral,schneekönigin,76
neutral,prophezeiung,3
neutral,besagt,1
neutral,sterne,12
neutral,nördlichen,2
neutral,himmels,6
neutral,aufs,4
neutral,neue,27
neutral,geboren,7
neutral,derjenige,4
neutral,schwarzen,23
neutral,schwert,11
neutral,eis,35
neutral,zerschlägt,2
neutral,kristallenen,2
neutral,grünen,39
neutral,stein,31
neutral,krone,26
neutral,dunkelheit,13
neutral,bedeckt,4
neutral,besitz,8
neutral,steins,1
neutral,gar,54
neutral,haupt,13
neutral,herrscher,4
neutral,welt,64
neutral,wäre,62
neutral,mehr,109
neutral,vorher,7
neutral,kristall,2
neutral,verwandeln,14
neutral,sonne,70
neutral,reif,2
neutral,hüllen,1
neutral,mond,17
neutral,silber,10
neutral,erbleichen,1
neutral,zeit,45
neutral,stehenbleiben,2
neutral,strand,9
neutral,gerda,196
neutral,kai,64
neutral,beim,36
neutral,spielen,12
neutral,düne,1
neutral,spieldose,6
neutral,ballerina,3
neutral,drei,59
neutral,goldenen,6
neutral,knöpfen,4
neutral,bekommt,8
neutral,erhält,7
neutral,knöpfe,8
neutral,nachts,17
neutral,geholt,3
neutral,fliegenden,3
neutral,pferdeschlitten,3
neutral,daraufhin,14
neutral,glühen,1
neutral,beginnen,6
neutral,wirft,4
neutral,kalte,12
neutral,erde,38
neutral,hinunter,20
neutral,morgen,47
neutral,betrübt,20
neutral,verschwinden,6
neutral,kais,13
neutral,straße,21
neutral,suche,18
neutral,begeben,4
neutral,boot,13
neutral,einsamen,3
neutral,hexe,67
neutral,beherrschte,1
neutral,wasserreich,3
neutral,gelockt,1
neutral,hilfe,20
neutral,verhexter,1
neutral,zuckerherzen,2
neutral,gebracht,15
neutral,vorhaben,1
neutral,vergessen,24
neutral,einsame,5
neutral,bleibt,16
neutral,geheimnis,5
neutral,täuscht,1
neutral,fortan,3
neutral,erscheinen,7
neutral,rosenmädchen,4
neutral,erzählen,13
neutral,mädchen,116
neutral,tanzen,22
neutral,befehlen,2
neutral,gehorchen,1
neutral,müssen,22
neutral,rosen,32
neutral,wänden,6
neutral,verwandelt,24
neutral,außerdem,4
neutral,raten,2
neutral,davonzuschleichen,1
neutral,schläft,1
neutral,folgt,15
neutral,rat,4
neutral,erwischt,5
neutral,trotzdem,2
neutral,entkommen,3
neutral,woraufhin,1
neutral,augenblicklich,5
neutral,vergeht,2
neutral,erlöst,4
neutral,kalten,9
neutral,derweil,1
neutral,eisigen,2
neutral,prinzen,77
neutral,erzählt,21
neutral,eisprinzen,3
neutral,mag,8
neutral,bittet,13
neutral,darum,17
neutral,zerschlagen,5
