Emotion,Token,Frequency
neutral,'',627
neutral,``,593
neutral,sagte,435
neutral,kleine,257
neutral,„,241
neutral,“,239
neutral,prinzessin,220
neutral,gerda,196
neutral,konnte,180
neutral,klaus,162
neutral,wurde,156
neutral,sah,148
neutral,kleinen,140
neutral,—,140
neutral,ganz,127
neutral,ja,126
neutral,ging,126
neutral,wasser,122
neutral,prinz,119
neutral,gerade,118
neutral,mädchen,116
neutral,sehen,112
neutral,mehr,109
neutral,frau,106
neutral,kam,106
neutral,große,105
neutral,großen,105
neutral,sei,102
neutral,könig,101
neutral,alte,97
admiration,'',65
admiration,``,63
admiration,schön,45
admiration,schöne,35
admiration,prinzessin,33
admiration,sagte,28
admiration,konnte,26
admiration,sah,24
admiration,mädchen,23
admiration,ganz,22
admiration,gut,19
admiration,herrlich,16
admiration,prinz,15
admiration,kleine,15
admiration,sehen,15
admiration,frau,15
admiration,ja,15
admiration,hübsch,14
admiration,schöner,14
admiration,augen,14
admiration,niedlich,14
admiration,alte,13
admiration,sonne,12
admiration,schönen,12
admiration,schönheit,12
admiration,hand,12
admiration,wurde,12
admiration,kleinen,11
admiration,„,11
admiration,kaiser,11
surprise,``,10
surprise,'',8
surprise,oh,6
surprise,überrascht,5
surprise,unerwartet,4
surprise,essen,4
surprise,gott,4
surprise,hätte,4
surprise,müller,3
surprise,truhe,3
surprise,ofen,3
surprise,welt,3
surprise,wurde,3
surprise,müllerin,2
surprise,versteckt,2
surprise,hause,2
surprise,küster,2
surprise,neugier,2
surprise,heimweg,2
surprise,kaschemme,2
surprise,verwunderung,2
surprise,ganzen,2
surprise,kaiser,2
surprise,johann,2
surprise,prinz,2
surprise,prinzessin,2
surprise,nie,2
surprise,bekommen,2
surprise,seit,2
surprise,bum,2
curiosity,'',72
curiosity,``,58
curiosity,„,13
curiosity,“,13
curiosity,wohl,12
curiosity,hast,10
curiosity,prinzessin,8
curiosity,willst,7
curiosity,fragte,6
curiosity,bekommen,6
curiosity,sagte,5
curiosity,kleine,5
curiosity,wissen,4
curiosity,frage,4
curiosity,kay,4
curiosity,all,4
curiosity,neugierig,3
curiosity,gut,3
curiosity,schneekönigin,3
curiosity,weshalb,3
curiosity,tot,3
curiosity,mädchen,3
curiosity,glaubst,3
curiosity,wollt,3
curiosity,sehen,3
curiosity,krähe,3
curiosity,ja,3
curiosity,siehst,3
curiosity,geld,3
curiosity,feuerzeug,3
excitement,``,20
excitement,'',19
excitement,begeistert,9
excitement,ja,7
excitement,ganz,5
excitement,morgen,4
excitement,prinzessin,3
excitement,allerliebst,3
excitement,müller,2
excitement,geschenk,2
excitement,prinzen,2
excitement,geburtstag,2
excitement,gesehen,2
excitement,gut,2
excitement,erhalten,2
excitement,großen,2
excitement,o,2
excitement,wär,2
excitement,reich,2
excitement,welt,2
excitement,nächsten,2
excitement,alte,2
excitement,könig,2
excitement,sagte,2
excitement,heute,2
excitement,schöne,2
excitement,wissen,1
excitement,zauber,1
excitement,teufel,1
excitement,herbeizaubern,1
pride,stolz,3
pride,'',2
pride,hüh,2
pride,kleine,1
pride,klaus,1
pride,kehrt,1
pride,reicher,1
pride,mann,1
pride,zurück,1
pride,dieners,1
pride,diener,1
pride,burschen,1
pride,pantoffeln,1
