Author,Type,Year,OriginalAuthor,Title,SentenceNr,Sentence,Emotion
Andersen,Wikipedia,1987,Andersen,Der kleine und der große Klaus,1,"Der kleine und der große Klaus

In einem kleinen Dorf wohnen zwei Männer mit Namen Klaus.",neutral
Andersen,Wikipedia,1987,Andersen,Der kleine und der große Klaus,2,"Um sie voneinander zu unterscheiden, nennt man sie nach der Höhe ihres Vermögens den Großen und den Kleinen Klaus.",neutral
Andersen,Wikipedia,1987,Andersen,Der kleine und der große Klaus,3,"Als Große Klaus eines Tages die reiche Gutsbesitzerstochter Dora heiratet und guter Laune ist, macht ihm der sehr arme Kleine Klaus ein Angebot.",neutral
Andersen,Wikipedia,1987,Andersen,Der kleine und der große Klaus,4,"Weil sein Acker klein ist solle ihm der Große Klaus seine vier Pferde leihen, dann würde er schon sehr bald mit seiner Arbeit fertig sein und den Rest der Woche nur noch für ihn arbeiten.",neutral
Andersen,Wikipedia,1987,Andersen,Der kleine und der große Klaus,5,"Dieser willigt ein, doch missfällt es ihm sehr, dass der Kleine Klaus am nächsten Tag überall verkündet, es wären seine Pferde.",neutral
Andersen,Wikipedia,1987,Andersen,Der kleine und der große Klaus,6,Kurzerhand macht er das Geschäft rückgängig und nimmt dem Kleinen Klaus die Pferde wieder weg.,neutral
Andersen,Wikipedia,1987,Andersen,Der kleine und der große Klaus,7,"So muss er nun mit seinem eigenen, mageren Klepper den schweren Pflug ziehen.",neutral
Andersen,Wikipedia,1987,Andersen,Der kleine und der große Klaus,8,"Als das Tier vor Erschöpfung zusammenbricht, bietet ihm ein Zigeuner zwei Taler für das Pferd.",neutral
Andersen,Wikipedia,1987,Andersen,Der kleine und der große Klaus,9,"Da sich der Kleine Klaus nicht gleich entscheiden kann und erst später auf das Angebot zurückkommt, bietet ihm der Zigeuner nur noch ein altes Fell für das Tier.",neutral
Andersen,Wikipedia,1987,Andersen,Der kleine und der große Klaus,10,"Enttäuscht packt er das Fell in seinen Beutel und macht sich auf den Weg nach Hause, denn es ist spät geworden.",neutral
Andersen,Wikipedia,1987,Andersen,Der kleine und der große Klaus,11,"Als er an einer Mühle vorbeikommt und es zu regnen beginnt, bittet er um Unterschlupf.",admiration
Andersen,Wikipedia,1987,Andersen,Der kleine und der große Klaus,12,"Doch die Müllerin weist ihn ab, da sie angeblich allein ist und der Müller nicht im Hause.",neutral
Andersen,Wikipedia,1987,Andersen,Der kleine und der große Klaus,13,"Als der Kleine Klaus aber heimlich durchs Fenster schaut, sieht er die Müllerin an einem reich gedeckten Tisch zusammen mit einem Liebhaber.",neutral
Andersen,Wikipedia,1987,Andersen,Der kleine und der große Klaus,14,Unerwartet kehrt der Müller vorzeitig zurück und die Müllerin versteckt ihren Liebhaber in einer Truhe und das schöne Essen im Ofen.,surprise
Andersen,Wikipedia,1987,Andersen,Der kleine und der große Klaus,15,"Als der Müller den Kleinen Klaus vor dem Haus entdeckt, lädt er ihn mit zu sich ein.",neutral
Andersen,Wikipedia,1987,Andersen,Der kleine und der große Klaus,16,Dort setzt ihnen die Müllerin nur einen einfachen Haferbrei als Abendessen vor.,neutral
Andersen,Wikipedia,1987,Andersen,Der kleine und der große Klaus,17,"Während der Kleine Klaus widerwillig den Brei zu essen beginnt, kommt er gegen seinen Beutel, in dem die Tierhaut eigenartig knarrt.",neutral
Andersen,Wikipedia,1987,Andersen,Der kleine und der große Klaus,18,"Der Müller wird neugierig und will wissen, was das war.",curiosity
Andersen,Wikipedia,1987,Andersen,Der kleine und der große Klaus,19,"Listig meint sein Gast, er hätte da einen kleinen Zauberer in seinem Sack, der ihm sagte, sie sollen nicht den Haferbrei essen, sondern lieber die leckeren Speisen, die er für sie in den Ofen gezaubert hätte.",neutral
Andersen,Wikipedia,1987,Andersen,Der kleine und der große Klaus,20,Der Müller sieht nach und findet eine gebratene Gans.,neutral
Andersen,Wikipedia,1987,Andersen,Der kleine und der große Klaus,21,"Als der Sack ein weiteres Mal „spricht“, verrät er den beiden, dass er auch noch leckeren Rotwein hinter dem Kamin hätte.",neutral
Andersen,Wikipedia,1987,Andersen,Der kleine und der große Klaus,22,"Der Müller ist begeistert und will wissen, ob der Zauber auch den Teufel herbeizaubern könne.",excitement
Andersen,Wikipedia,1987,Andersen,Der kleine und der große Klaus,23,"Der Kleine Klaus erklärt, dass sein Zauberer alles könnte und wenn er den Teufel unbedingt sehen wollte, der würde in Gestalt des Küsters in der Truhe sitzen.",neutral
Andersen,Wikipedia,1987,Andersen,Der kleine und der große Klaus,24,"Der Müller schaut in die Truhe und sieht dort tatsächlich jemanden, der wie der Küster des Dorfes aussieht.",neutral
Andersen,Wikipedia,1987,Andersen,Der kleine und der große Klaus,25,Nun will er den Zauberer unbedingt selber besitzen und bietet dem Kleinen Klaus einen Beutel Silbertaler für den Sack mit dem Zauberer drin.,neutral
