Author,Type,Title,Token,SentenceNr,Sentence,Sentiment
Andersen,Wikipedia,Der kleine und der große Klaus,kleine,1,"Der kleine und der große Klaus

In einem kleinen Dorf wohnen zwei Männer mit Namen Klaus.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,große,1,"Der kleine und der große Klaus

In einem kleinen Dorf wohnen zwei Männer mit Namen Klaus.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,klaus,1,"Der kleine und der große Klaus

In einem kleinen Dorf wohnen zwei Männer mit Namen Klaus.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,kleinen,1,"Der kleine und der große Klaus

In einem kleinen Dorf wohnen zwei Männer mit Namen Klaus.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,dorf,1,"Der kleine und der große Klaus

In einem kleinen Dorf wohnen zwei Männer mit Namen Klaus.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,wohnen,1,"Der kleine und der große Klaus

In einem kleinen Dorf wohnen zwei Männer mit Namen Klaus.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,zwei,1,"Der kleine und der große Klaus

In einem kleinen Dorf wohnen zwei Männer mit Namen Klaus.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,männer,1,"Der kleine und der große Klaus

In einem kleinen Dorf wohnen zwei Männer mit Namen Klaus.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,namen,1,"Der kleine und der große Klaus

In einem kleinen Dorf wohnen zwei Männer mit Namen Klaus.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,klaus,1,"Der kleine und der große Klaus

In einem kleinen Dorf wohnen zwei Männer mit Namen Klaus.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,voneinander,2,"Um sie voneinander zu unterscheiden, nennt man sie nach der Höhe ihres Vermögens den Großen und den Kleinen Klaus.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,unterscheiden,2,"Um sie voneinander zu unterscheiden, nennt man sie nach der Höhe ihres Vermögens den Großen und den Kleinen Klaus.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,nennt,2,"Um sie voneinander zu unterscheiden, nennt man sie nach der Höhe ihres Vermögens den Großen und den Kleinen Klaus.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,höhe,2,"Um sie voneinander zu unterscheiden, nennt man sie nach der Höhe ihres Vermögens den Großen und den Kleinen Klaus.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,vermögens,2,"Um sie voneinander zu unterscheiden, nennt man sie nach der Höhe ihres Vermögens den Großen und den Kleinen Klaus.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,großen,2,"Um sie voneinander zu unterscheiden, nennt man sie nach der Höhe ihres Vermögens den Großen und den Kleinen Klaus.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,kleinen,2,"Um sie voneinander zu unterscheiden, nennt man sie nach der Höhe ihres Vermögens den Großen und den Kleinen Klaus.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,klaus,2,"Um sie voneinander zu unterscheiden, nennt man sie nach der Höhe ihres Vermögens den Großen und den Kleinen Klaus.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,große,3,"Als Große Klaus eines Tages die reiche Gutsbesitzerstochter Dora heiratet und guter Laune ist, macht ihm der sehr arme Kleine Klaus ein Angebot.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,klaus,3,"Als Große Klaus eines Tages die reiche Gutsbesitzerstochter Dora heiratet und guter Laune ist, macht ihm der sehr arme Kleine Klaus ein Angebot.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,tages,3,"Als Große Klaus eines Tages die reiche Gutsbesitzerstochter Dora heiratet und guter Laune ist, macht ihm der sehr arme Kleine Klaus ein Angebot.",neutral
Andersen,Wikipedia,Der kleine und der große Klaus,reiche,3,"Als Große Klaus eines Tages die reiche Gutsbesitzerstochter Dora heiratet und guter Laune ist, macht ihm der sehr arme Kleine Klaus ein Angebot.",neutral
