Token,EmotionCount,Emotions
kleine,20,"admiration, amusement, anger, annoyance, approval, caring, curiosity, disappointment, disapproval, disgust, embarrassment, excitement, fear, gratitude, joy, love, nervousness, neutral, pride, sadness"
große,15,"admiration, amusement, anger, approval, caring, desire, disappointment, disapproval, disgust, fear, gratitude, joy, neutral, realization, sadness"
klaus,16,"admiration, amusement, anger, annoyance, approval, disappointment, embarrassment, fear, gratitude, joy, love, nervousness, neutral, pride, realization, surprise"
kleinen,19,"admiration, amusement, anger, annoyance, caring, curiosity, desire, disappointment, disapproval, disgust, embarrassment, fear, gratitude, joy, love, neutral, realization, sadness, surprise"
dorf,2,"joy, neutral"
wohnen,3,"admiration, disapproval, neutral"
zwei,15,"admiration, amusement, annoyance, curiosity, desire, disappointment, disapproval, embarrassment, fear, joy, neutral, optimism, realization, sadness, surprise"
männer,5,"admiration, amusement, desire, disappointment, neutral"
namen,5,"admiration, annoyance, joy, love, neutral"
höhe,2,"admiration, neutral"
großen,12,"admiration, amusement, annoyance, approval, curiosity, disgust, excitement, fear, gratitude, joy, neutral, sadness"
tages,7,"admiration, desire, disappointment, excitement, joy, neutral, sadness"
reiche,2,"admiration, neutral"
gutsbesitzerstochter,2,"admiration, neutral"
dora,3,"admiration, neutral, realization"
guter,3,"admiration, desire, neutral"
laune,3,"admiration, annoyance, neutral"
macht,10,"admiration, amusement, anger, approval, curiosity, disappointment, joy, love, neutral, realization"
arme,10,"amusement, annoyance, disappointment, disgust, fear, grief, joy, neutral, realization, sadness"
klein,3,"admiration, neutral, sadness"
solle,3,"admiration, desire, neutral"
vier,4,"admiration, anger, joy, neutral"
pferde,7,"admiration, anger, disgust, love, neutral, pride, sadness"
schon,15,"admiration, annoyance, approval, caring, confusion, curiosity, desire, disappointment, fear, joy, love, neutral, optimism, realization, sadness"
bald,11,"admiration, approval, curiosity, desire, excitement, fear, grief, love, neutral, optimism, realization"
arbeit,6,"admiration, anger, gratitude, love, neutral, sadness"
fertig,3,"admiration, anger, neutral"
woche,4,"anger, annoyance, neutral, sadness"
arbeiten,3,"anger, caring, neutral"
willigt,2,"anger, neutral"
missfällt,2,"disapproval, neutral"
nächsten,9,"admiration, anger, disappointment, embarrassment, excitement, joy, love, neutral, realization"
tag,12,"admiration, anger, approval, caring, disappointment, embarrassment, excitement, fear, gratitude, joy, love, neutral"
überall,5,"anger, curiosity, disappointment, fear, neutral"
wären,5,"admiration, disappointment, love, neutral, realization"
kurzerhand,2,"annoyance, neutral"
nimmt,5,"approval, fear, joy, love, neutral"
eigenen,3,"admiration, neutral, realization"
mageren,2,"admiration, neutral"
klepper,2,"admiration, neutral"
schweren,2,"disappointment, neutral"
ziehen,2,"neutral, sadness"
tier,6,"admiration, amusement, disappointment, fear, grief, neutral"
bietet,3,"admiration, disapproval, neutral"
pferd,5,"admiration, annoyance, excitement, neutral, surprise"
gleich,4,"approval, embarrassment, neutral, realization"
erst,9,"anger, approval, curiosity, excitement, love, neutral, realization, sadness, surprise"
später,6,"admiration, curiosity, disappointment, fear, neutral, surprise"
zurückkommt,2,"anger, neutral"
altes,3,"admiration, neutral, sadness"
