Emotion,Token,Frequency
neutral,drei,194
neutral,federn,31
neutral,fürst,14
neutral,gundolf,9
neutral,regierens,3
neutral,müde,35
neutral,sucht,15
neutral,nachfolger,7
neutral,söhnen,5
neutral,verspricht,24
neutral,hofmeister,10
neutral,julius,14
neutral,demjenigen,1
neutral,söhne,25
neutral,zepter,2
neutral,übergeben,6
neutral,feinsten,7
neutral,teppich,15
neutral,hause,43
neutral,bringt,57
neutral,älteren,22
neutral,gerhard,18
neutral,gebhard,14
neutral,fest,80
neutral,davon,115
neutral,überzeugt,9
neutral,aufgabe,32
neutral,zufriedenheit,2
neutral,vaters,32
neutral,lösen,12
neutral,bringen,72
neutral,brüder,84
neutral,richtung,4
neutral,suchen,38
neutral,wirft,19
neutral,ausgestopften,2
neutral,geliebten,2
neutral,falken,8
neutral,luft,22
neutral,osten,7
neutral,westen,5
neutral,folgen,17
neutral,folgt,10
neutral,gustav,49
neutral,feder,16
neutral,wald,270
neutral,kleinen,69
neutral,höhle,26
neutral,begegnet,21
neutral,sprechenden,4
neutral,kröte,17
neutral,itsche,15
neutral,zehn,5
neutral,jahre,51
neutral,zuvor,26
neutral,kochtopf,3
neutral,fürstenkochs,2
neutral,gerettet,20
neutral,spricht,14
neutral,wunsch,29
neutral,schönsten,8
neutral,zauberspruch,3
neutral,öffnet,7
neutral,kiste,2
neutral,vater,224
neutral,währenddessen,22
neutral,seite,32
neutral,waldes,13
neutral,denkmal,3
neutral,getroffen,7
neutral,gemeinsam,38
neutral,wirtshaus,16
neutral,nahe,14
neutral,gelegenen,2
neutral,dorfes,5
neutral,gezogen,16
neutral,bier,5
neutral,vergnügen,3
neutral,bruder,54
neutral,schönen,31
neutral,findet,42
neutral,schließen,5
neutral,pakt,8
neutral,weiterhin,9
neutral,fürstlich,2
neutral,leben,114
neutral,raubt,1
neutral,ärmlichen,7
neutral,untertanin,1
neutral,alten,74
neutral,roten,18
neutral,vorhang,4
neutral,ausgibt,2
neutral,geschenk,7
neutral,zerschliessenen,1
neutral,gustavs,9
neutral,kurz,50
neutral,nacheinander,3
neutral,bekommt,18
neutral,entscheidet,2
neutral,rät,4
neutral,allein,65
neutral,entscheidung,4
neutral,abhängig,1
neutral,diesmal,25
neutral,sollen,22
neutral,ring,63
neutral,wege,20
neutral,weisen,8
neutral,erneut,46
neutral,denen,17
neutral,zwei,144
neutral,zusammen,90
neutral,führen,21
neutral,speist,1
neutral,besorgt,2
neutral,mann,163
neutral,pfeife,12
neutral,stiehlt,8
neutral,trifft,50
neutral,fluss,38
neutral,blondes,2
neutral,barfüßiges,1
neutral,junges,7
neutral,mädchen,183
neutral,hellgrünes,1
neutral,kleid,62
neutral,dunkelgrünen,1
neutral,umhang,8
neutral,kapuze,3
neutral,trägt,16
neutral,schoß,14
neutral,sitzt,19
neutral,schwarz-weiß,1
neutral,geschecktes,1
neutral,kaninchen,8
neutral,gesellt,2
neutral,beiden,125
neutral,beginnen,5
neutral,gespräch,9
neutral,stellt,20
neutral,heraus,79
neutral,damals,5
neutral,aufgezogen,3
neutral,anlässlich,5
neutral,60,1
neutral,geburtstages,5
neutral,zubereiten,2
neutral,lassen,62
neutral,blonde,5
neutral,verhindert,2
neutral,koch,41
neutral,schlachten,3
neutral,gestohlen,17
neutral,wächter,13
neutral,fürsten,14
neutral,vorbeikommt,1
neutral,verrät,8
neutral,dennoch,12
neutral,möchte,35
neutral,weder,14
neutral,namen,29
neutral,verraten,12
neutral,gesicht,34
neutral,zeigen,15
neutral,beide,58
neutral,freiheit,13
neutral,zieht,36
neutral,daraufhin,44
neutral,maul,6
neutral,dicker,2
neutral,diamanten,4
neutral,brillanten,2
neutral,geschmückter,1
neutral,goldring,2
neutral,sonnenstrahl,2
neutral,glänzt,1
neutral,präsentiert,2
neutral,zunge,9
neutral,nimmt,39
neutral,erbost,6
neutral,bekommen,23
neutral,fingern,5
neutral,verbiegen,1
neutral,dagegen,7
neutral,begeistert,3
neutral,herz,114
neutral,beinahe,5
neutral,glück,38
neutral,stehen,28
neutral,bleibt,30
neutral,überzeugen,9
neutral,ernennen,2
neutral,bald,98
neutral,darauf,116
neutral,ruhenden,1
neutral,letzte,23
neutral,wer,115
neutral,wind,47
neutral,ost,1
neutral,west,1
neutral,dritte,34
neutral,führt,26
neutral,ordinäre,1
neutral,bauerntöchter,2
neutral,erwählt,1
neutral,erklärt,16
neutral,dritten,29
neutral,jedoch,126
neutral,schon,111
neutral,halb,8
neutral,gelöst,3
neutral,barfüßige,1
neutral,junge,95
neutral,grünem,2
neutral,sinn,3
neutral,zauber,30
neutral,reiten,12
neutral,braunen,2
neutral,ross,4
neutral,fürstlichen,1
neutral,nachdem,41
neutral,wenig,50
neutral,reizvollen,1
neutral,bräute,2
neutral,konnten,22
neutral,entzückt,1
neutral,blonden,1
neutral,barfüßigen,2
neutral,jungen,67
neutral,letztes,12
neutral,mal,41
neutral,versuchen,20
neutral,aufzubringen,1
neutral,behauptet,9
neutral,schönheit,18
neutral,stamme,3
neutral,reich,82
neutral,schloss,244
neutral,dorf,65
neutral,komme,8
neutral,verkündet,10
neutral,aufgaben,14
neutral,erfüllt,15
neutral,intriganten,1
neutral,sowie,9
neutral,schickt,27
neutral,arbeiten,23
neutral,pferdestall,3
neutral,lässt,88
neutral,sohn,80
neutral,thron,7
neutral,platz,16
neutral,nehmen,43
neutral,schlussszene,1
neutral,sieht,42
neutral,barbara,4
neutral,lange,77
neutral,hand,107
neutral,fürstenschloss,2
neutral,tanzen,23
neutral,später,46
neutral,königin,180
neutral,krank,13
neutral,wurde,158
neutral,gestorben,13
neutral,könig,733
neutral,schöne,30
neutral,adlige,1
neutral,zweiten,22
neutral,frau,227
neutral,neue,24
neutral,warnt,13
neutral,bevorstehenden,2
neutral,angriff,3
neutral,macht,111
