Emotion,Token,Frequency
neutral,„,1415
neutral,“,1392
neutral,könig,733
neutral,sprach,488
neutral,wald,270
neutral,schloss,244
neutral,prinz,235
neutral,ging,235
neutral,prinzessin,234
neutral,kam,229
neutral,frau,227
neutral,vater,224
neutral,sagte,222
neutral,–,214
neutral,hans,197
neutral,drei,194
neutral,mädchen,183
neutral,königin,180
neutral,mutter,171
neutral,sah,169
neutral,zurück,165
neutral,mann,163
neutral,wurde,158
neutral,mehr,152
neutral,'',150
neutral,``,148
neutral,ließ,148
neutral,zwei,144
neutral,ab,142
neutral,nacht,141
annoyance,“,47
annoyance,„,41
annoyance,könig,26
annoyance,mann,11
annoyance,sprach,11
annoyance,dummling,7
annoyance,sagte,7
annoyance,frau,6
annoyance,tochter,5
annoyance,wer,5
annoyance,fragte,5
annoyance,zwei,5
annoyance,alte,5
annoyance,schloss,5
annoyance,böse,4
annoyance,kind,4
annoyance,wald,4
annoyance,fee,4
annoyance,bösen,4
annoyance,ganzen,4
annoyance,heraus,4
annoyance,männchen,4
annoyance,kam,4
annoyance,ging,4
annoyance,zornig,4
annoyance,ward,4
annoyance,tod,4
annoyance,ließ,4
annoyance,wütend,3
annoyance,hexe,3
excitement,tag,4
excitement,welt,4
excitement,stiefmutter,4
excitement,königreich,3
excitement,„,3
excitement,mädchen,3
excitement,hochzeit,3
excitement,–,3
excitement,freute,3
excitement,fürst,2
excitement,geburtstag,2
excitement,aufgabe,2
excitement,schneewittchen,2
excitement,prinzessin,2
excitement,dorf,2
excitement,kikeriki,2
excitement,goldene,2
excitement,“,2
excitement,schauen,2
excitement,singen,2
excitement,haare,2
excitement,aufregung,2
excitement,glaubte,2
excitement,dürfte,2
excitement,gehen,2
excitement,—,2
excitement,nächsten,1
excitement,gundolfs,1
excitement,60.,1
excitement,gibt,1
approval,“,15
approval,„,12
approval,mehr,6
approval,antwortete,6
approval,—,5
approval,könig,4
approval,glück,4
approval,wer,4
approval,leben,4
approval,lässt,3
approval,hilfe,3
approval,liebe,3
approval,bekommt,3
approval,mutter,3
approval,vater,3
approval,macht,3
approval,mädchen,3
approval,markt,3
approval,frei,3
approval,weiss,3
approval,``,3
approval,ja,3
approval,'',3
approval,sagte,3
approval,festen,2
approval,finden,2
approval,tag,2
approval,tiere,2
approval,gemeinsam,2
approval,fort,2
gratitude,dank,11
gratitude,“,10
gratitude,dankte,10
gratitude,„,9
gratitude,bedankt,8
gratitude,könig,5
gratitude,gold,5
gratitude,ging,4
gratitude,``,4
gratitude,'',4
gratitude,dankbar,4
gratitude,königin,3
gratitude,zukunft,3
gratitude,sei,3
gratitude,drei,3
gratitude,beim,3
gratitude,verwandelt,3
gratitude,zurück,3
gratitude,hans,3
gratitude,rotkäppchen,3
gratitude,tieren,3
gratitude,sprach,3
gratitude,glück,3
gratitude,wächter,3
gratitude,kater,3
gratitude,geist,3
gratitude,prinzessin,3
gratitude,glauben,2
gratitude,nachdem,2
gratitude,zeit,2
admiration,“,84
admiration,„,80
admiration,schön,57
admiration,könig,55
admiration,schöner,37
admiration,königin,36
admiration,frau,36
admiration,sah,31
admiration,herz,30
admiration,mädchen,27
admiration,schönste,25
admiration,spiegel,25
admiration,sprach,25
admiration,schöne,24
admiration,schönheit,22
admiration,sei,21
admiration,ward,19
admiration,spieglein,18
admiration,schneewittchen,17
admiration,prinzessin,17
admiration,gut,17
admiration,wer,16
admiration,ganzen,15
admiration,land,14
admiration,stolz,13
admiration,tochter,13
admiration,sagte,13
admiration,wurde,13
admiration,alte,12
admiration,augen,12
disappointment,verzweiflung,7
disappointment,„,7
disappointment,“,7
disappointment,wald,4
disappointment,–,4
disappointment,mann,3
disappointment,schwer,3
disappointment,mädchen,3
disappointment,bruder,3
disappointment,fort,3
disappointment,jungen,2
disappointment,zufrieden,2
disappointment,großes,2
disappointment,unglück,2
disappointment,enttäuscht,2
disappointment,darüber,2
disappointment,bittet,2
disappointment,constanze,2
disappointment,sonne,2
disappointment,vater,2
disappointment,fliehen,2
disappointment,alter,2
disappointment,beiden,2
disappointment,voller,2
disappointment,kinder,2
disappointment,finden,2
disappointment,henriette,2
disappointment,versucht,2
disappointment,verloren,2
disappointment,ganze,2
disapproval,“,9
disapproval,„,8
disapproval,konnte,4
disapproval,bauern,3
disapproval,menschen,3
disapproval,kind,3
disapproval,brunnen,3
disapproval,könig,3
disapproval,junge,2
disapproval,frau,2
disapproval,ab,2
disapproval,gut,2
disapproval,jahr,2
disapproval,möchte,2
disapproval,stimme,2
disapproval,rieche,2
disapproval,sagte,2
disapproval,nahm,2
disapproval,glaubte,2
disapproval,leere,2
disapproval,wald,2
disapproval,schneewittchen,1
disapproval,wurde,1
disapproval,küchenmädchen,1
disapproval,degradiert,1
disapproval,misslingt,1
disapproval,ahnen,1
disapproval,verfolgt,1
disapproval,sowie,1
disapproval,abdecker,1
fear,„,38
fear,“,36
fear,angst,26
fear,fürchtete,10
fear,sprach,9
fear,rief,8
fear,kam,7
fear,entsetzt,6
fear,hans,6
fear,wald,5
fear,schrecken,5
fear,immer,5
fear,könig,5
fear,heraus,5
fear,stand,5
fear,bruder,5
fear,ließ,5
fear,leben,4
fear,gar,4
fear,alten,4
fear,königin,4
fear,schon,4
fear,kind,4
fear,dunkel,4
fear,sagte,4
fear,ward,4
fear,hinaus,4
fear,antwortete,4
fear,ging,4
fear,könne,4
sadness,“,38
sadness,„,37
sadness,traurig,27
sadness,könig,15
sadness,herz,15
sadness,sprach,15
sadness,mutter,14
sadness,frau,13
sadness,mädchen,13
sadness,arme,13
sadness,konnte,13
sadness,wurde,11
sadness,wald,11
sadness,weinte,11
sadness,leben,10
sadness,schwer,10
sadness,königin,9
sadness,mann,8
sadness,–,8
sadness,zurück,8
sadness,kommt,8
sadness,tod,8
sadness,kind,8
sadness,tot,8
sadness,unglück,8
sadness,ward,8
sadness,ganz,8
sadness,ging,8
sadness,kam,8
sadness,setzte,8
optimism,hoffnung,6
optimism,schneewittchen,3
optimism,königin,3
optimism,könig,3
optimism,–,3
optimism,herz,3
optimism,endlich,3
optimism,frau,3
optimism,—,3
optimism,regiert,2
optimism,inzwischen,2
optimism,vielleicht,2
optimism,not,2
optimism,hofft,2
optimism,kind,2
optimism,tages,2
optimism,hof,2
optimism,glück,2
optimism,erst,2
optimism,menschen,2
optimism,waffen,2
optimism,leicht,2
optimism,davon,2
optimism,hoffte,2
optimism,weder,2
optimism,neuen,1
optimism,gekrönt,1
optimism,land,1
optimism,gerechter,1
optimism,hand,1
surprise,„,18
surprise,“,15
surprise,könig,9
surprise,prinzessin,7
surprise,wunderte,7
surprise,überrascht,6
surprise,schloss,6
surprise,rotkäppchen,6
surprise,rief,6
surprise,tochter,5
surprise,herr,5
surprise,verwundert,4
surprise,wundert,4
surprise,mann,4
surprise,kam,4
surprise,sagte,4
surprise,sprach,4
surprise,wirt,4
surprise,überraschung,3
surprise,trifft,3
surprise,große,3
surprise,prinz,3
surprise,stellt,3
surprise,mädchen,3
surprise,vater,3
surprise,mehr,3
surprise,wolf,3
surprise,großmutter,3
surprise,warum,3
surprise,gott,3
confusion,„,10
confusion,“,8
confusion,verwirrt,4
confusion,–,3
confusion,gefühlen,2
confusion,töchter,2
confusion,sprach,2
confusion,antwortete,2
confusion,teufel,2
