Author,Type,Year,OriginalAuthor,Title,SentenceNr,Sentence,Emotion
Grimm,Wikipedia,2014,Grimm,Die drei Federn,1,"Die drei Federn

Fürst Gundolf, des Regierens müde, sucht einen Nachfolger unter seinen Söhnen.",neutral
Grimm,Wikipedia,2014,Grimm,Die drei Federn,2,"Er verspricht seinem Hofmeister Julius, nur demjenigen seiner Söhne sein Zepter zu übergeben, der den feinsten Teppich nach Hause bringt.",neutral
Grimm,Wikipedia,2014,Grimm,Die drei Federn,3,"Seine älteren Söhne Gerhard und Gebhard sind fest davon überzeugt, diese Aufgabe zur Zufriedenheit ihres Vaters lösen und ihm den feinsten Teppich nach Hause bringen zu können.",neutral
Grimm,Wikipedia,2014,Grimm,Die drei Federn,4,"Von den Fähigkeiten ihres jüngeren Bruders Gustav halten sie nichts, überschütten ihn mit Spott und schimpfen ihn „Dummling“.",annoyance
Grimm,Wikipedia,2014,Grimm,Die drei Federn,5,"Damit die Brüder nicht in derselben Richtung suchen, wirft Fürst Gundolf drei Federn seines ausgestopften geliebten Falken in die Luft.",neutral
Grimm,Wikipedia,2014,Grimm,Die drei Federn,6,"Während Gerhard und Gebhard den Federn nach Osten und Westen folgen, folgt Gustav der Feder in den Wald bis zu einer kleinen Höhle.",neutral
Grimm,Wikipedia,2014,Grimm,Die drei Federn,7,"Dort begegnet er der sprechenden Kröte Itsche, welche er zehn Jahre zuvor vor dem Kochtopf des Fürstenkochs gerettet hat.",neutral
Grimm,Wikipedia,2014,Grimm,Die drei Federn,8,"Gustav spricht vor Itsche den Wunsch nach dem schönsten Teppich aus, sie spricht einen Zauberspruch, und es öffnet sich eine Kiste mit dem feinsten Teppich.",neutral
Grimm,Wikipedia,2014,Grimm,Die drei Federn,9,Diesen bringt Gustav zu seinem Vater nach Hause.,neutral
Grimm,Wikipedia,2014,Grimm,Die drei Federn,10,"Währenddessen haben sich Gerhard und Gebhard auf der anderen Seite des Waldes an einem Denkmal getroffen und sind gemeinsam ins Wirtshaus des nahe gelegenen Dorfes gezogen, um sich dort mit Bier zu vergnügen.",neutral
Grimm,Wikipedia,2014,Grimm,Die drei Federn,11,"Sie sind fest davon überzeugt, dass ihr Bruder Gustav im Wald keinen schönen Teppich findet und schließen einen Pakt, dass, wenn Gerhard Fürst wird, Gebhard weiterhin bei ihm fürstlich leben kann.",neutral
Grimm,Wikipedia,2014,Grimm,Die drei Federn,12,"Auf dem Weg zum Wirtshaus raubt Gerhard einer ärmlichen Untertanin einen alten roten Vorhang, welchen er als Teppich ausgibt und seinem Vater als Geschenk bringt.",neutral
Grimm,Wikipedia,2014,Grimm,Die drei Federn,13,"Als der Vater den zerschliessenen Vorhang der älteren Brüder und Gustavs Teppich kurz nacheinander bekommt, entscheidet er sich für Gustavs Teppich.",neutral
Grimm,Wikipedia,2014,Grimm,Die drei Federn,14,"Doch Julius rät ihm, allein davon nicht die Entscheidung abhängig zu machen.",neutral
Grimm,Wikipedia,2014,Grimm,Die drei Federn,15,"Am nächsten Tag, es ist der Tag vor Fürst Gundolfs 60. Geburtstag, gibt der Fürst seinen Söhnen eine neue Aufgabe auf.",excitement
Grimm,Wikipedia,2014,Grimm,Die drei Federn,16,Diesmal sollen sie ihm den schönsten Ring bringen.,neutral
Grimm,Wikipedia,2014,Grimm,Die drei Federn,17,"Die Wege weisen ihnen erneut drei Federn, von denen zwei Gerhard und Gebhard wieder zusammen zum Denkmal führen und Gustav in den Wald zur Kröte Itsche.",neutral
